id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35628213,Wanchai Room Availablewith LIFT   (MH2b),7518056,Jovee,,Wan Chai,22.25974,114.19014,Private room,160,29,0,,,225,364,0,
35639377,銅鑼灣CWB/MTR 4-7人·2房2廳 2衛2廚·旅遊·購物·合家度假首選,244912449,Paul,,Wan Chai,22.25821,114.19033,Entire home/apt,1224,1,2,2021-01-17,0.05,9,230,0,
35644269,"1503-彌敦道328號,廟街夜市,市中心,佐敦站B1出口2分鐘,洗衣乾衣機,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30575,114.17116,Private room,761,2,8,2021-08-15,0.14,22,83,0,
35665354,香港Hong Kong 長洲Cheung Chau Rm：5D2海景房 免費燒烤爐,109310747,Brenda,,Islands,22.21223,114.02784,Entire home/apt,609,1,50,2024-02-16,0.95,22,32,12,
35666557,Convenient Central Room Available 3/walk up ( ML3g,7518056,Jovee,,Wan Chai,22.25952,114.19215,Private room,160,29,0,,,225,364,0,
35666733,Central Room for 2 ppl 3/walkup ( ML3a),7518056,Jovee,,Wan Chai,22.25929,114.19217,Private room,160,29,0,,,225,364,0,
35667951,Nice and Comfort Room in Causeway Bay (C12D),7518056,Jovee,,Wan Chai,22.27956,114.18252,Private room,160,29,0,,,225,365,0,
35668780,香港Hong Kong 長洲Cheung Chau Rm：5D3海景房,109310747,Brenda,,Islands,22.21162,114.02866,Entire home/apt,609,1,24,2023-10-05,0.44,22,33,2,
35669164,Affordable  Studio at  Causeway Bay   C25C),7518056,Jovee,,Wan Chai,22.25975,114.19039,Private room,217,29,0,,,225,365,0,
35669688,Good and Convenient Room in Causeway Bay (C12A),7518056,Jovee,,Wan Chai,22.25763,114.19027,Private room,180,29,0,,,225,364,0,
35676397,"T1AA 廟街夜市,市中心,佐敦站A出口4分鐘,廚房,即熱熱水器,行李寄存位置,,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30834,114.17091,Entire home/apt,1207,3,41,2024-03-10,0.72,22,343,26,
35677338,"1505-彌敦道328號,廟街夜市,市中心,佐敦站B1出口2分鐘,洗衣乾衣機,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30717,114.17051,Private room,707,2,8,2022-08-29,0.14,22,0,0,
35677955,"1507-彌敦道328號,廟街夜市,市中心,佐敦站B1出口2分鐘,洗衣乾衣機,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30773,114.17227,Private room,730,3,6,2024-02-11,0.11,22,324,4,
35696417,(PK) 佐敦，地鐵站出口50米，兩房一廳，獨立廚廁，乾淨企理，適合2-5人,240790745,Samson,,Yau Tsim Mong,22.30588,114.17015,Entire home/apt,1114,28,50,2024-03-08,0.86,14,281,29,
35697852,"1602-彌敦道328號,廟街夜市,市中心,佐敦站B1出口2分鐘,洗衣乾衣機,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30768,114.17103,Private room,761,3,4,2023-10-08,0.07,22,357,2,
35700714,Convenient North Point Room Available (N3b),7518056,Jovee,,Wan Chai,22.25966,114.1902,Private room,150,29,0,,,225,365,0,
35700953,( N3a) Affordable Room In North POint 3/walk up,7518056,Jovee,,Wan Chai,22.25758,114.19209,Private room,160,29,0,,,225,365,0,
35701094,"1606-彌敦道328號,廟街夜市,市中心,佐敦站B1出口2分鐘,洗衣乾衣機,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.306,114.17086,Private room,602,2,3,2019-10-07,0.05,22,0,0,
35705940,One bed available,60618658,Philip,,Wan Chai,22.26728,114.18599,Entire home/apt,1000,1,0,,,1,91,0,
35721120,Fortress Hill Room Available with LiFt ( F3d),7518056,Jovee,,Wan Chai,22.25855,114.19214,Private room,170,29,0,,,225,365,0,
35722860,Excellent Quarry Bay Studio ( Q1ds),7518056,Jovee,,Wan Chai,22.25813,114.19174,Private room,245,29,0,,,225,364,0,
35723928,Available Quarry Bay Room  ( Q1h),7518056,Jovee,,Wan Chai,22.25816,114.19024,Private room,160,29,0,,,225,364,0,
35724028,Available room in Quarry Bay ( Q1a),7518056,Jovee,,Wan Chai,22.25914,114.1899,Private room,160,29,0,,,225,364,0,
35724171,Available now..Quarry Bay  ( Q1b),7518056,Jovee,,Wan Chai,22.25972,114.19191,Private room,220,29,0,,,225,364,0,
35724243,Quarry Bay studio ( Q1e),7518056,Jovee,,Wan Chai,22.25993,114.19031,Private room,217,29,0,,,225,364,0,
35754300,"New sea-view flat, 6Bed 2Bath 10ppl, near TST MTR",268958107,Carly,,Yau Tsim Mong,22.29581,114.17373,Entire home/apt,3980,3,64,2024-03-19,1.10,1,304,22,
35789191,North Point For 2ppl 3/walk up ( N3c),7518056,Jovee,,Wan Chai,22.25932,114.19196,Private room,160,29,0,,,225,364,0,
35789553,Convenient Room available #/walkup ( n3b),7518056,Jovee,,Wan Chai,22.25836,114.19,Private room,150,29,0,,,225,365,0,
35789667,Convenient Room in north Point 3/walkup (N3h),7518056,Jovee,,Wan Chai,22.25936,114.19195,Private room,160,29,0,,,225,364,0,
35817469,THE PEACEFUL PLACE,241396304,Massimiliano,,Sai Kung,22.40439,114.32497,Private room,540,30,3,2020-01-28,0.05,1,363,0,
35822189,Good Causeway Bay Room (C5c),7518056,Jovee,,Wan Chai,22.25844,114.19212,Private room,160,29,0,,,225,364,0,
35822475,Cool and Convenient Causeway Bay Room (C5c),7518056,Jovee,,Wan Chai,22.25824,114.19006,Private room,160,29,0,,,225,364,0,
35822730,Comfortable Causeway Bay Room (C5d) move in now,7518056,Jovee,,Wan Chai,22.2577,114.19131,Private room,210,29,0,,,225,365,0,
35824536,Excellent and Comfort Room in Causeway Bay ( C12d),7518056,Jovee,,Wan Chai,22.25818,114.19208,Private room,160,29,0,,,225,364,0,
35836153,Live by the sea  in Cheug Chau,4128982,Françoise,,Islands,22.20136,114.02906,Entire home/apt,950,2,11,2024-03-20,1.40,2,217,11,
35882192,( F1c) Available Fortress Room   with LIFT,7518056,Jovee,,Wan Chai,22.25775,114.19223,Private room,160,29,0,,,225,364,0,
35890012,MongKok MTR cozy guesthouse,264829985,TongLe,,Yau Tsim Mong,22.29475,114.17147,Private room,1481,1,1,2022-09-11,0.05,1,0,0,
35893826,Central  Room Available 3/walkup ( ML3d),7518056,Jovee,,Wan Chai,22.25806,114.19208,Private room,160,29,0,,,225,364,0,
35893946,Convenient Central Room for 2ppl   ( ML3f),7518056,Jovee,,Wan Chai,22.25988,114.19069,Private room,160,29,0,,,225,364,0,
35894174,Central Room For  1 person   3/walkup ( ML3a),7518056,Jovee,,Wan Chai,22.25792,114.19178,Private room,160,29,0,,,225,364,0,
35894262,Room Available in Central for 2ppl 3/walkup (ML3g),7518056,Jovee,,Wan Chai,22.25959,114.19038,Private room,160,29,0,,,225,364,0,
35894619,Central Room Available for 2/ppl ( ML3h),7518056,Jovee,,Wan Chai,22.25923,114.19011,Private room,160,29,0,,,225,364,0,
35917401,North Point Room Available 3/walkup ( N3a),4584648,Ivy,,Wan Chai,22.25983,114.19149,Private room,170,30,0,,,323,364,0,
35917534,Convenient Room Available  north Point ( N3d ),4584648,Ivy,,Wan Chai,22.25952,114.1904,Private room,180,30,0,,,323,364,0,
35917633,Cozy Room In North Point. Move in now (N3b),4584648,Ivy,,Wan Chai,22.25944,114.19174,Private room,150,30,0,,,323,364,0,
35917835,North Point Room Available 3/walkup (N3c),4584648,Ivy,,Wan Chai,22.25772,114.19081,Private room,160,29,0,,,323,364,0,
35917992,North Point Room Available 3/walkup ( N3c),4584648,Ivy,,Wan Chai,22.258,114.19008,Private room,160,30,0,,,323,364,0,
35919576,Cozy Room available ( C11c),4584648,Ivy,,Wan Chai,22.25774,114.19209,Private room,160,30,0,,,323,364,0,
35919726,Convenient Room In Causeway Bay 5/walkup ( C11b),4584648,Ivy,,Wan Chai,22.25991,114.19155,Private room,180,30,0,,,323,364,0,
35925270,"1508-彌敦道328號,廟街夜市,市中心,佐敦站B1出口2分鐘,洗衣乾衣機,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30588,114.17088,Private room,627,3,11,2023-10-23,0.20,22,340,8,
35939801,Newly Redecorated Cozy bedroom 3 mins to MTR,49929481,Mandy,,Sha Tin,22.37528,114.17999,Private room,170,28,19,2022-12-31,0.33,5,328,0,
35941304,Nordic bedroom close to MTR and universities,49929481,Mandy,,Sha Tin,22.3758,114.17776,Private room,200,28,16,2023-06-22,0.28,5,328,1,
35941465,Cozy bedroom 3 mins to MTR station,49929481,Mandy,,Sha Tin,22.37645,114.1795,Private room,200,28,11,2023-06-29,0.19,5,90,1,
35984478,套房長租 Long term rential,270700379,Ken,,Yau Tsim Mong,22.304465639381085,114.17033726807618,Private room,250,28,2,2021-09-30,0.04,1,300,0,
